id,created_on,last_edit,name,skill_cat_id
318,"2024-10-16 14:12:52.395375","2024-10-16 14:12:52.395384","검증",13
319,"2024-10-16 14:12:52.397020","2024-10-16 14:12:52.397029",SQA,13
320,"2024-10-16 14:12:52.416251","2024-10-16 14:12:52.416260","iOS 앱개발",13
321,"2024-10-16 14:12:52.417810","2024-10-16 14:12:52.417818",mvvm,13
322,"2024-10-16 14:12:52.421102","2024-10-16 14:12:52.421111",devops,13
323,"2024-10-16 14:12:52.421994","2024-10-16 14:12:52.422002","서비스운영",13
324,"2024-10-16 14:12:52.422886","2024-10-16 14:12:52.422895","인프라운영",13
325,"2024-10-16 14:12:52.424510","2024-10-16 14:12:52.424518","아키텍처",13
326,"2024-10-16 14:12:52.429546","2024-10-16 14:12:52.429555","반응형웹",13
327,"2024-10-16 14:12:52.435260","2024-10-16 14:12:52.435269","Sw검증",13
328,"2024-10-16 14:12:52.443481","2024-10-16 14:12:52.443489",Ruby,1
329,"2024-10-16 14:12:52.445065","2024-10-16 14:12:52.445074","AWS Lambda",2
